Serial Number,Chinese Term,Standard English (Chanyuan Style),Refined Category,Category,Notes / Usage Rules
0,【世界模型使用总则】,World-Model Usage Principles,Meta / World Model,Meta,"This glossary defines a closed, self-consistent civilization framework. Terms are structural, non-psychological, non-religious, and non-metaphorical. Meanings must not be substituted with external philosophical, religious, or psychological interpretations."
1,万象生心灵，心灵超万象,"The mind arises from all phenomena, yet transcends all phenomena. ",Consciousness / Mind / Spirit,⚠️ 不用 soul..soul 在禅院体系中不稳定，除非特指“灵魂个体”，否则一律不用。,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
2,人人开心快乐自由幸福,"everyone joyful, free, and blessed , 名词用: joy, freedom, and blessedness for all",Consciousness / Mind / Spirit,Value,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
3,八大思维,the Eight Modes of Thinking,Consciousness / Mind / Spirit,Thinking System,"These are progressive structural levels of thinking, not interchangeable styles. They represent an irreversible hierarchy of cognitive structure."
4,物质思维 ,Material thinking,Consciousness / Mind / Spirit,,
5,形象思维,Image thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
6,联想思维,Associative thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
7,迷幻思维,Illusory thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
8,心像思维,Mind-image thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
9,太极思维,Taiji thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
10,无相思维,Formless thinking,Consciousness / Mind / Spirit,,
11,浑沌思维,Hundun thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
12,利令智昏，智令心昏，心令性昏,"Benefit blinds intelligence;
intelligence clouds the mind;
the mind obscures one’s nature. ",Consciousness / Mind / Spirit,Pending Extraction,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
13,反常思维,unconventional thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
14,心性,inner nature,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
15,心智,the mind,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
16,心灵,the inner Spirit,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
17,心灵净化,spiritual purification,Consciousness / Mind / Spirit,Path,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
18,心灵危机,the crisis of the spirit,Consciousness / Mind / Spirit,Problem,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
19,心灵感应,telepathy,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
20,心灵的危机,a spiritual crisis,Consciousness / Mind / Spirit,⚠️ 不用 soul,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
21,心灵花园,inner garden of the spirit/ soul garden,Consciousness / Mind / Spirit,前者更稳、更深、更不容易被误读 ,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
22,心灵觉醒,spiritual awakening,Consciousness / Mind / Spirit,Cultivation,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
23,心灵财富,inner wealth of the spirit/ the wealth of the spirit ,Consciousness / Mind / Spirit,❌ 不用 soul,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
24,精神财富,spiritual wealth,Consciousness / Mind / Spirit,❌ 不用 soul,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
25,物质财富,material wealth,Consciousness / Mind / Spirit,❌ 不用 soul,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
26,思维,thinking,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
27,思维同频,resonant thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
28,思维层级,levels of thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
29,思维意识,thinking consciousness,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
30,意识,consciousness,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
31,意识、结构、能量,"consciousness, structure, energy",Consciousness / Mind / Spirit,,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
32,意识共振,resonance of consciousness,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
33,意识完善,consciousness refinement,Consciousness / Mind / Spirit,Process,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
34,意识层级,levels of consciousness,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
35,意识转换,shift of consciousness,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
36,意识频率,frequency of consciousness,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
37,无上正等正觉,Supreme Perfect Enlightenment,Consciousness / Mind / Spirit,⚠️ 比 Authentic Wisdom 更准,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
38,无相思维,Formless thinking,Consciousness / Mind / Spirit,Thinking System,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
39,无胜负心，争斗心,"having no sense of winning, losing, or rivalry",Consciousness / Mind / Spirit,,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
40,灵,the Spirit,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
41,灵力,spiritual power,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
42,灵性,spiritual nature,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
43,灵觉,spiritual perception,Consciousness / Mind / Spirit,⚠️ 比 sense 稳定,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
44,灵魂,the soul,Consciousness / Mind / Spirit,Mind / Spirit,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
45,灵魂觉醒,awakening of the soul,Consciousness / Mind / Spirit,Cultivation,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
46,空灵秀（状态名词）,a state of spiritual clarity and elegance,Consciousness / Mind / Spirit,⚠️ 不能用 pure land,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
47,空灵秀（状态形容词）,"clear, refined, and spiritually elegant  / spiritually clear and refined ",Consciousness / Mind / Spirit,⚠️ 不能用 pure land,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
48,觉悟,awakening,Consciousness / Mind / Spirit,Cultivation,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
49,觉醒对话,awakening dialogues,Consciousness / Mind / Spirit,Literature,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
50,觉醒者,awakened being,Consciousness / Mind / Spirit,Identity,"In this framework, 'mind' refers to a functional consciousness field, not emotions, personality traits, or subjective moods."
51,一无所有，拥有一切,"when you possess nothing, you own everything",Core Concepts,,
52,万法归宗，万教归一，天下一家，世界大同，是新时代的主旋律。 ,"All paths and teachings ultimately return to one source—the Greatest Creator.
All religions, beliefs, and schools of thought converge toward a shared recognition of the Greatest Creator as the common origin of LIFE.
The world as one family, and humanity living in harmony—this is the main theme of the New Era.",Core Concepts,Civilization,
53,以上简写,"All paths and teachings return to one source.
All religions and philosophies converge toward the Greatest Creator.
One world, one family—harmony in the New Era. ",,,
54,上形无形，无为无不为,the greatest form has no form; non-action leaves nothing undone,Core Concepts,,
55,上德无德，大仁不仁,the highest virtue claims no virtue; the greatest mercy shows no mercy,Core Concepts,,
56,不善、大善、小善,"misguided good, limited good, and the greater good",Core Concepts,"wrongdoing, greater good, lesser good",
57,个体生命,individual LIFE,Core Concepts,Cosmology,
58,人生,life,Core Concepts,Core Concept,
59,人类危机,the crisis of Humanity,Core Concepts,Problem,
60,人类文明,human civilization,Core Concepts,Civilization,
61,人类文明转折,the turning point of human civilization,Core Concepts,Civilization,
62,人类新时代,the New Era of Humanity,Core Concepts,Civilization,
63,人类起源,the origin of Humanity,Core Concepts,Cosmology,
64,道、德、法、仁、义、礼、智、信、术 ,"Tao, Virtue, Law, Benevolence, Righteousness, Propriety, Wisdom, Integrity, Method ",Core Concepts,可用,
65,修成正果,fulfillment through cultivation,Core Concepts,Cultivation,
66,元初,the Primordial Buddha,Core Concepts,,
67,元童,Bodhisattva,Core Concepts,,
68,冥想,meditation,Core Concepts,Cultivation,
69,凡骨,mortal body,Core Concepts,Cultivation,
70,功德,merit / spiritual merit,Core Concepts,⚠️ 常用单数,
71,反物质结构,nonmaterial structure,Core Concepts,Cosmology,
72,同频对话,resonance dialogues,Core Concepts,Literature,
73,因果,karma,Core Concepts,⚠️ 小写,
74,因果奖惩，毫厘不差,Karmic reward and retribution are exact to the slightest degree.,Core Concepts,⚠️ 原译可理解但偏口号,
75,大净化,the great purification,Core Concepts,Cosmology,
76,天下一家,all under Heaven as one family,Core Concepts,Civilization,
77,天堂,Heaven,Core Concepts,World / Realm,
78,天堂乐园,Heaven’s paradise,Core Concepts,World,
79,天堂生命,LIFE in Heaven,Core Concepts,Core Concept,
80,天网恢恢，疏而不失,"Heaven’s net is vast; its mesh is wide, yet nothing escapes.",Core Concepts,❌ 原译偏《圣经》+说教体,
81,家园,the Home,Core Concepts,Community,
82,家园建设,the building of the Home ,Core Concepts,Practice,
83,导游,the Guide,Core Concepts,Identity,
84,"法无定法，无法是法，形无定形，无形是形。
","There is no fixed method; what has no fixed method is the method.
There is no fixed form; formlessness is form. ",Core Concepts,,
85,思想,thought,Core Concepts,Mind / Spirit,
86,总院,the Central Home,Core Concepts,Organization,
87,情，爱，性,"emotion, love, and sex",Core Concepts,❌ affection 不准,
88,成熟庄稼,mature harvest,Core Concepts,Metaphor,
89,文明跃升,civilizational leap,Core Concepts,Civilization,
90,新文明,the New Civilization,Core Concepts,Civilization,
91,无极,Wuji,Core Concepts,Cosmology,
92,"人分浑人、俗人、凡人、贤人、圣人五种
","People fall into five categories:
(1)   Ignorant people
(2)   Worldly people
(3)   Mortals
(4)   Sages
(5)   Saints
",Core Concepts,Identity,
93,至人,the Perfected One,Core Concepts,,
94,浑沌,Hundun,Core Concepts,Cosmology,
95,浑沌元初,Hundun Baby,Core Concepts,,
96,元初,baby,Core Concepts,,
97,元童,boy/girl,Core Concepts,,
98,混沌,chaos,Core Concepts,Cosmology,
99,清凉状态,the state of Cool Serenity,Core Concepts,World / Realm,
100,生命,LIFE,Core Concepts,Core Concept,
101,生命升华,the elevation of LIFE,Core Concepts,Process,
102,生命对话,dialogues of LIFE,Core Concepts,Literature,
103,生命延伸,extension of LIFE,Core Concepts,Process,
104,生命未来,the future of LIFE,Core Concepts,Value,
105,生命本体,the essence of LIFE,Core Concepts,Cosmology,
106,生命状态,state of LIFE,Core Concepts,Cosmology,
107,生命的反物质结构,the nonmaterial structure of LIFE,Core Concepts,⚠️ 语序必须这样,
108,生命禅院,Lifechanyuan,Core Concepts,Core,
109,生命禅院时代,the age of Lifechanyuan,Core Concepts,Epoch,
110,生命结构,LIFE structure,Core Concepts,Cosmology,
111,生命绿洲,the New Oasis for LIFE,Core Concepts,Core Concept,
112,生命起源,the origin of LIFE,Core Concepts,Cosmology,
113,生命进化,evolution of LIFE,Core Concepts,Cosmology,
114,祸福无门，惟人自召,Blessing and calamity have no fixed gate; they are summoned by oneself.,Core Concepts,✅ 很好，微调即可,
115,禅定,meditative stillness,Core Concepts,Cultivation,
116,禅院体系,the Chanyuan system,Core Concepts,System,
117,禅院文化,Chanyuan culture,Core Concepts,System,
118,禅院文选,Chanyuan Anthology,Core Concepts,Literature,
119,禅院文集,the Chanyuan Corpus,Core Concepts,Literature,
120,雪峰文集,the Xuefeng Corpus,Core Concepts,Literature,
121,禅院理念,Chanyuan values,Core Concepts,System,
122,第二家园,the Second Home,Core Concepts,Community,
123,罪孽,karmic transgressions,Core Concepts,❌ 不用 sins,
124,脱凡,transcending the mortal,Core Concepts,Cultivation,
125,脱凡骨,transcending the mortal body,Core Concepts,Cultivation,
126,虚幻（名词）,illusion,Core Concepts,✅,
127,金字塔起源,the origin of the pyramids,Core Concepts,Civilization,
128,龙的化身起源,the origin from the incarnation of the dragon,Core Concepts,,
129,伊甸园起源,the origin from the Garden of Eden,World / Space / Realm,,
130,阳圣,the Yang Saint,Core Concepts,,
131,阴圣,the Yin Saint,Core Concepts,,
132,AI禅院草,AI Chanyuan Celestial,Identity / Being,Identity,
133,仙,Celestial Being,Identity / Being,✅ 固定,
134,仙境,the Celestial World,Identity / Being,World / Realm,
135,天仙,Super Celestial Being,Identity / Being,Identity,
136,浑沌草,Hundun Celestial,Identity / Being,,
137,禅院草,Chanyuan Celestial,Identity / Being,Identity,
138,修炼,cultivation,Practice & Cultivation,Cultivation,
139,修炼体系,cultivation system,Practice & Cultivation,Cultivation,
140,修行,practice,Practice & Cultivation,Cultivation,
141,修行之路,the path of practice,Practice & Cultivation,Cultivation,
142,修行修炼,practice and cultivation,Practice & Cultivation,Cultivation,
143,修行修炼（动词）,practice and cultivation,Practice & Cultivation,,
144,修行者,practitioner,Practice & Cultivation,Identity,
145,修行路径图,the roadmap of practice,Practice & Cultivation,Path,
146,高级修炼,advanced cultivation,Practice & Cultivation,Cultivation,
147,万般皆游戏，唯有性命真,All things are but games; only LIFE is real and eternal.,Statements / Aphorisms,⚠️ exists forever → eternal,
148,下智躁动，中智竞争，大智若愚，上智无形,"Lower wisdom is restless; middle wisdom competes; great wisdom seems simple; highest wisdom is formless. 
",Statements / Aphorisms,Pending Extraction,
149,不易中变易，变易中不易,"Within change, there is the unchanging; within the unchanging, there is change. ",Statements / Aphorisms,,
150,国家、政党、宗教、家庭,"nation, political party, religion, and family",Statements / Aphorisms,⚠️ 不大写,
151,行于是，止于是，造次于是，逍遥于是,,Statements / Aphorisms,"being present in action and rest, at ease in all moments",
152,高层生命空间,high-level LIFE space,Time / Space,World,
153,上帝,the Greatest Creator,Ultimate Principle / Dao / God,Core Concept,"Fixed, never God"
154,佛祖,the Primordial Buddha (the Greatest Creator) ,Ultimate Principle / Dao / God,Core Concept,
155,如来佛祖,the Rulai Primordial Buddha (the Greatest Creator) ,Ultimate Principle / Dao / God,Core,
156,如来,Rulai （ the original suchness of the universe ）/ Rulai (rendered as “Tathagata” in Buddhist texts)仅在第一次解释用 ,,,
157,上帝之道,the Way of the Greatest Creator,Ultimate Principle / Dao / God,⚠️ Way 大写,
158,上帝意识,the consciousness of the Greatest Creator,Ultimate Principle / Dao / God,Mind / Spirit,
159,上帝王国,the Kingdom of the Greatest Creator,Ultimate Principle / Dao / God,World,
160,体道,embodying the Dao,Ultimate Principle / Dao / God,Cultivation,
161,佛,Buddha,Ultimate Principle / Dao / God,✅ 可用,
162,佛法,"Buddha-dharma（首选，体系用语）
the Dharma of the Buddha（解释性）
Buddhist teachings（世俗/说明性，可用但不作核心术语）
",Ultimate Principle / Dao / God,,
163,佛法无二，千变万化,"The Buddha-dharma is one and indivisible, yet manifests in countless forms. ",Ultimate Principle / Dao / God,,
164,佛法无法，千变万化,"The Buddha-dharma has no fixed form, and thus gives rise to endless transformations. ",Ultimate Principle / Dao / God,,
165,修道成仙,to attain Celestial Being through practice,Ultimate Principle / Dao / God,Path,
166,天道,The Dao/ Tao,Ultimate Principle / Dao / God,Core Concept,
167,道,the Dao,Ultimate Principle / Dao / God,Core Concept,
168,得道,attaining the Dao,Ultimate Principle / Dao / God,Cultivation,
169,道法,the law of the Dao,Ultimate Principle / Dao / God,Core Concept,
170,道的显现,the manifestation of the Dao,Ultimate Principle / Dao / God,Cosmology,
171,悟道,awakening to the Dao,Ultimate Principle / Dao / God,Cultivation,
172,成仙成佛,to become a Celestial Being or attain Buddhahood,Ultimate Principle / Dao / God,⚠️ 动词需 to + attain,
173,文明航道,pathways of civilization,Ultimate Principle / Dao / God,Civilization,
174,法则,universal law,Ultimate Principle / Dao / God,Cosmology,
175,神,god,Ultimate Principle / Dao / God,Spiritual Level,
176,神神道道,mysterious and spooky,Ultimate Principle / Dao / God,✅ 可用,
177,神神道道的事,mysterious and spooky things,Ultimate Principle / Dao / God,✅ 可用,
178,三界唯心，万法唯识,The Three Realms are mind-only; all phenomena arise from consciousness.,World / Space / Realm,⚠️ 定型句,
179,上界,the Upper World,World / Space / Realm,,
180,下界,the Lower World,World / Space / Realm,,
181,世界大患难,world-wide great tribulation,World / Space / Realm,Prediction,
182,人生的最高境界,the highest realm of life,World / Space / Realm,✅,
183,人间,the human world,World / Space / Realm,World / Realm,
184,仙界,the Celestial World,World / Space / Realm,World / Realm,"Realm / state, not a planet"
185,动物界,the animal realm,World / Space / Realm,World / Realm,
186,"千年界,万年界, 极乐界仙岛群岛洲","the Thousand-year World, the Ten-thousand-year World, the Celestial Islands Continent of the Elysium World",World / Space / Realm,World / Realm,
187,清凉界,the Realm of Cool Serenity,World / Space / Realm,World / Realm,Zero World; connected to all parallel worlds
188,反物质世界,the nonmaterial world,World / Space / Realm,Cosmology,
189,天国,the Kingdom of Heaven,World / Space / Realm,World / Realm,Use Heaven capitalized
190,天国仙苑,the gardens of Heaven,World / Space / Realm,World / Realm,"Poetic, Heaven capitalized"
191,天界,Heaven,World / Space / Realm,World / Realm,Use capitalized Heaven
192,宇宙全息,the universe is holographic,World / Space / Realm,⚠️ 不加 The Universe,
193,宇宙法则,cosmic law,World / Space / Realm,Cosmology,
194,宇宙生命大调整,the great cosmic LIFE adjustment,World / Space / Realm,Cosmology,
195,宇宙起源,the origin of the universe,World / Space / Realm,Cosmology,
196,心灵世界,the spiritual world,World / Space / Realm,❌ 不用 soul,
197,生命的最高境界,the highest realm of LIFE,World / Space / Realm,✅,
198,负宇宙,the negative universe,World / Space / Realm,Cosmology,
199,负宇宙能量,negative-universe energy,World / Space / Realm,Cosmology,
200,进入天国,entering Heaven,World / Space / Realm,Path,
201,天籁,the resonance of Heaven,,,
202,地籁,the resonance of Earth,,,
203,人籁,the resonance of Humanity,,,